Loan no,Dependents,Graduate,Self_employed,bnf_income,co_bnf_income,loan_amt,loan_term,cred_hist,property_worth,property_area,loan_status
51,4,0,0,8116,5030,76000,240,1,411000,2,1
52,3,0,0,14924,10188,13000,180,1,162000,2,1
53,0,1,0,17578,8365,107000,240,0,58000,1,1
54,5,0,1,2324,6477,8000,240,1,301000,2,1
55,0,0,1,7384,19405,90000,180,0,335000,1,1
56,0,0,1,14485,556,116000,240,1,26000,1,1
57,3,1,1,9361,12896,122000,120,0,217000,0,0
58,5,1,1,4129,4229,65000,120,0,296000,2,1
59,5,0,0,9734,6654,22000,120,1,32000,2,1
60,3,1,1,11635,10067,48000,120,0,223000,2,1
61,0,1,1,175,1459,125000,120,0,126000,2,0
62,1,1,0,17398,2279,51000,240,0,137000,2,1
63,0,1,0,5705,6962,48000,60,0,413000,0,0
64,1,1,0,11462,7611,127000,60,0,252000,2,1
65,0,1,0,9313,875,122000,120,0,17000,1,1
66,2,1,1,3831,40,88000,180,0,497000,0,1
67,4,1,1,19314,18651,40000,240,0,335000,2,1
68,2,1,0,12181,8503,79000,60,0,292000,0,0
69,5,0,1,11627,6467,141000,240,0,313000,2,0
70,3,1,1,8683,8213,142000,180,1,392000,0,1
71,0,0,1,4084,10075,36000,180,0,287000,0,0
72,0,1,1,2663,5706,113000,180,1,489000,0,1
73,2,0,1,913,7591,104000,180,0,250000,2,1
74,1,1,1,11422,1098,147000,180,0,471000,2,1
75,5,1,1,8712,17546,78000,120,0,19000,2,1
76,5,0,1,18540,3245,8000,240,0,101000,0,0
77,0,0,0,5087,8570,63000,180,1,423000,2,1
78,2,1,1,5565,28,93000,180,0,443000,1,1
79,5,1,1,4681,1588,92000,180,0,221000,0,0
80,2,0,0,690,7949,93000,120,0,248000,1,0
81,0,1,1,12226,15185,138000,60,1,224000,1,1
82,3,1,1,4766,4944,105000,60,0,411000,1,0
83,3,1,1,9496,18584,65000,240,0,75000,0,0
84,2,0,0,5072,426,56000,60,1,404000,0,1
85,4,0,1,10093,16565,136000,120,1,314000,0,0
86,0,0,0,10838,482,5000,180,1,230000,0,1
87,3,1,1,4186,19690,29500,180,0,393000,0,0
88,2,0,0,7262,2233,54000,240,0,303000,0,0
89,4,0,1,4213,7109,28000,180,0,318000,1,0
90,2,1,1,15264,11903,76000,180,1,402000,0,1
91,1,0,0,13653,10674,120000,180,1,331000,1,1
92,2,1,0,2619,3971,3000,120,1,4000,2,1
93,3,1,0,5589,12722,88000,120,0,461000,0,0
94,4,1,1,6493,1515,69000,240,1,58000,0,1
95,3,0,1,16215,4555,15000,120,1,212000,2,1
96,2,0,1,710,4484,24000,240,1,451000,1,1
97,1,1,0,5898,3073,38000,240,0,456000,0,0
98,1,0,1,15790,1723,63000,60,0,278000,0,0
99,1,1,0,1071,11333,67000,240,1,168000,2,1
100,4,1,0,2598,3309,43000,180,0,116000,0,0
101,3,0,1,7864,9421,5000,240,0,16000,0,0
102,4,1,1,19964,1340,136000,60,0,221000,1,0
103,5,1,0,9873,17124,91000,120,0,423000,0,0
104,0,0,0,5602,11907,7000,240,0,136000,2,1
105,0,1,0,3556,12290,143000,240,0,54000,1,1
106,2,0,1,13712,5131,114000,120,0,222000,1,1
107,5,0,1,7479,18238,23000,120,0,159000,2,0
108,4,0,0,6633,12158,22000,240,0,37000,1,0
109,3,0,0,10807,4098,80000,60,0,278000,0,0
110,4,0,0,540,8315,75000,180,1,336000,1,0
111,2,1,0,13851,6816,80000,180,1,158000,1,1
112,4,0,0,15147,5162,5000,60,0,361000,2,0
113,0,0,0,6946,1188,69000,240,1,75000,2,1
114,1,1,1,528,13234,120000,240,0,57000,0,1
115,1,0,1,17469,330,123000,60,1,425000,2,1
116,3,0,1,1278,12393,136000,240,0,91000,2,0
117,1,1,1,10004,16337,73000,120,0,108000,1,1
118,3,1,0,18373,8652,94000,60,0,396000,0,0
119,3,0,0,18819,943,61000,60,1,419000,0,0
120,1,1,0,11450,1615,59000,60,0,393000,0,0
121,3,0,1,9573,15589,111000,240,0,358000,0,0
122,0,0,0,10422,10774,79000,240,0,182000,2,1
123,3,0,0,1364,14902,55000,180,0,472000,1,0
124,4,1,1,9789,5605,45000,240,0,343000,1,0
125,3,0,0,3439,13428,62000,180,1,408000,2,1
126,0,1,1,6434,5204,86000,240,0,445000,1,1
127,0,0,1,17692,1787,32000,120,0,447000,2,1
128,1,0,1,2376,8583,98000,60,0,18000,1,1
129,4,1,0,3856,19490,75000,60,0,177000,0,0
130,3,0,1,2668,11068,91000,60,1,328000,2,1
131,2,1,1,17612,18703,77000,180,1,8000,0,1
132,4,1,1,1313,2501,47000,180,1,150000,0,1
133,2,0,1,681,7465,17000,240,1,134000,2,1
134,2,0,1,8442,5177,77000,120,0,364000,1,1
135,0,1,1,8023,12179,95000,60,1,42000,2,1
136,0,0,0,9487,1670,128000,180,0,213000,2,1
137,1,0,0,8610,4472,78000,240,1,218000,2,1
138,5,1,0,1881,9257,100000,60,0,458000,0,0
139,5,0,1,278,19489,85000,180,1,86000,0,0
140,3,0,0,6048,8928,92000,240,0,266000,1,0
141,4,1,1,1892,11982,128000,120,1,244000,2,1
142,2,0,1,17432,9535,8000,180,1,243000,1,1
143,1,1,1,16100,19812,48000,180,1,474000,1,1
144,5,0,0,9990,5697,119000,60,0,431000,0,0
145,4,1,1,2525,8483,138000,60,1,252000,0,1
146,0,0,0,11497,2785,79000,120,1,291000,0,1
147,4,1,0,6979,10971,127000,120,1,120000,2,1
148,2,0,0,6582,13578,59000,60,1,159000,2,1
149,0,0,0,7008,7967,8000,240,1,370000,0,1
150,0,0,0,12611,19019,111000,60,0,163000,0,0
151,0,0,0,2741,4954,63000,240,0,460000,2,1
152,2,1,0,4680,9198,32000,240,0,240000,1,1
153,2,0,1,18882,5249,73000,120,1,121000,1,1
154,0,0,0,10178,13579,8000,240,0,7000,2,1
155,3,1,0,4676,7753,49000,60,1,93000,0,0
156,4,1,1,7514,10168,105000,180,1,422000,1,1
157,5,0,0,16446,11577,117000,240,0,374000,2,0
158,1,0,0,10693,9091,65000,120,1,140000,0,1
159,2,1,1,11226,8162,5000,180,0,180000,2,1
160,5,1,1,9261,12578,78000,120,0,111000,0,0
161,3,0,1,13489,4750,149000,240,1,214000,2,1
162,1,0,0,16367,8522,82000,180,1,231000,0,1
163,3,1,1,6538,11351,97000,240,0,276000,1,0
164,3,0,0,8486,3455,78000,120,0,253000,2,0
165,4,1,1,2431,9082,5000,60,0,252000,2,1
166,4,1,1,4455,15947,124000,120,1,376000,1,1
167,3,0,0,9253,6922,135000,240,0,153000,2,0
168,1,0,0,5678,6450,101000,60,1,355000,2,1
169,4,1,1,3245,6473,74000,120,1,181000,0,1
170,5,0,1,17465,7172,129000,180,0,476000,1,0
171,3,0,1,8805,12372,32000,180,0,165000,2,0
172,4,1,0,6578,16948,106000,60,0,396000,2,0
173,0,0,1,14788,10109,134000,240,0,117000,1,1
174,0,0,0,17906,5928,97000,60,0,199000,1,0
175,2,1,0,710,18271,63000,60,1,318000,1,1
176,5,1,1,13444,3186,107000,60,1,74000,1,1
177,0,1,0,4693,19885,37000,120,0,177000,1,1
178,4,0,1,5000,542,137000,60,0,355000,2,0
179,3,1,1,16584,10987,111000,120,1,1000,1,1
180,5,1,1,2104,15084,45000,120,1,464000,1,1
181,0,0,0,3343,2593,80000,240,0,411000,0,0
182,4,1,0,12079,8768,90000,120,1,279000,2,1
183,1,1,0,2095,4365,24000,60,1,180000,0,1
184,5,1,1,4808,13559,6000,120,0,405000,0,0
185,1,0,1,1962,1080,36000,240,0,8000,0,0
186,0,0,0,11493,7740,146000,120,1,97000,0,1
187,1,0,0,707,2955,116000,120,0,481000,2,1
188,1,0,1,1009,2012,136000,180,0,43000,1,0
189,3,0,0,9248,6018,68000,240,0,150000,0,0
190,5,1,1,1895,5303,140000,180,1,105000,2,1
191,1,1,0,8753,4033,79000,180,0,253000,1,1
192,2,0,0,12244,11063,29000,60,0,269000,2,1
193,5,1,0,1487,4326,126000,240,0,179000,2,0
194,2,0,1,17945,9221,120000,60,1,455000,1,1
195,5,0,0,135,3487,46000,240,0,435000,0,0
196,3,0,0,18965,11001,55000,60,1,169000,2,1
197,1,1,0,3545,13597,118000,240,0,372000,1,1
198,4,0,1,14723,13490,104000,180,1,197000,1,1
199,1,1,1,2363,7721,115000,180,1,110000,0,1
200,1,0,0,9151,3015,105000,60,0,279000,1,0
201,0,0,0,12707,4245,138000,180,0,339000,0,0
202,4,1,1,78,1724,31000,180,1,223000,2,1
203,0,0,1,9445,18805,66000,240,1,338000,0,1
204,1,1,1,1630,3224,108000,120,0,420000,0,1
205,3,1,0,9561,11056,6000,60,1,382000,1,1
206,3,0,0,12779,12279,133000,60,0,125000,1,0
207,5,0,1,577,10737,141000,180,1,60000,1,1
208,3,0,0,4580,14875,57000,120,0,219000,0,0
209,4,1,1,8329,16290,24000,60,1,189000,1,1
210,2,1,1,3053,17063,31000,240,1,176000,2,1
211,3,1,0,13998,1083,89000,240,1,493000,1,1
212,2,0,0,12581,4399,128000,180,1,443000,0,1
213,5,1,0,8707,502,91000,180,0,391000,1,0
214,5,0,0,11690,13162,85000,120,0,377000,0,0
215,4,1,1,13874,2663,22000,60,0,360000,2,1
216,0,1,1,9467,12425,17000,240,0,63000,1,1
217,4,1,1,5023,17226,3000,60,1,70000,2,1
218,2,1,0,9405,11531,112000,180,1,56000,1,1
219,1,0,1,6803,3388,15000,60,1,272000,0,1
220,1,1,1,4642,3569,74000,240,0,85000,1,1
221,1,1,0,10103,4750,133000,180,1,111000,0,1
222,2,1,0,19047,2352,58000,240,0,183000,0,0
223,0,0,0,16895,6135,8000,180,0,194000,2,1
224,4,0,0,11357,3941,47000,60,1,380000,2,1
225,0,0,1,5385,73,54000,120,1,102000,2,1
226,0,1,0,12074,19149,130000,120,0,49000,0,0
227,5,1,0,8773,18470,31000,60,1,369000,1,1
228,4,1,0,5679,8053,143000,180,0,63000,1,0
229,4,0,0,1911,9492,101000,60,1,116000,2,1
230,2,0,1,2348,6798,79000,240,1,383000,0,1
231,2,0,0,19770,19022,123000,180,0,388000,2,1
232,1,0,0,11267,11749,65000,120,0,119000,1,0
233,5,0,0,18631,14589,52000,180,0,364000,2,0
234,1,0,1,18490,6610,77000,120,0,459000,0,0
235,4,1,1,3893,2630,24000,60,0,203000,1,0
236,4,0,1,997,11151,123000,60,1,140000,2,1
237,4,1,1,2659,18245,136000,60,1,101000,1,1
238,1,1,1,9250,18058,21000,180,1,287000,1,1
239,3,1,0,4979,2138,50000,60,1,118000,1,1
240,4,0,1,11622,14398,10000,240,1,481000,2,1
241,1,1,0,19161,7746,38000,240,0,476000,0,0
242,5,1,0,5752,13758,133000,120,1,226000,1,1
243,4,1,1,10548,7273,42000,120,1,137000,0,1
244,0,1,0,4668,12627,148000,60,0,379000,1,1
245,1,1,1,10875,5598,99000,240,1,123000,0,1
246,3,0,1,4434,9385,117000,60,1,204000,1,1
247,5,0,1,18684,10792,17000,240,1,430000,1,1
248,2,0,1,3743,1604,99000,180,1,6000,1,1
249,3,0,1,17889,11447,40000,240,0,475000,2,0
250,3,1,0,6412,6840,120000,60,1,141000,1,1
251,5,1,1,83,1085,140000,60,0,255000,2,1
252,0,0,1,10862,6424,115000,60,0,385000,1,1
253,4,1,0,10883,4925,115000,60,1,278000,1,1
254,1,0,1,4773,5134,101000,120,0,334000,1,1
255,1,0,0,7590,356,21000,180,1,145000,2,1
256,1,0,1,4712,13037,48000,120,0,217000,1,1
257,3,1,0,19103,10231,115000,120,0,329000,2,0
258,4,1,1,14272,675,112000,180,1,480000,0,1
259,5,0,0,19203,3277,125000,240,1,78000,1,0
260,3,0,0,17939,1138,121000,240,1,177000,2,1
261,4,1,0,7961,8862,102000,240,1,184000,1,1
262,5,1,1,1284,2944,109000,120,0,143000,1,0
263,3,1,1,3041,8891,64000,240,1,72000,1,1
264,1,1,1,12536,14957,9000,240,0,93000,1,1
265,3,0,1,11798,16224,124000,60,1,385000,2,1
266,2,0,1,5084,11909,28000,240,1,400000,2,1
267,3,1,0,15765,5767,107000,120,0,204000,0,0
268,0,1,1,18085,7734,140000,180,0,86000,2,1
269,3,0,1,1376,4254,119000,120,1,493000,1,1
270,0,0,0,12600,10819,68000,180,0,339000,0,0
271,2,0,0,6814,13787,39000,240,0,327000,1,0
272,2,1,0,13642,19002,121000,120,0,56000,2,1
273,1,0,1,6533,686,104000,240,0,342000,1,1
274,3,0,1,9578,1187,113000,120,1,434000,0,0
275,2,1,0,8411,11959,51000,60,0,124000,2,1
276,3,0,1,3101,14489,58000,120,0,13000,1,0
277,5,0,1,8472,5402,126000,120,1,266000,0,0
278,5,0,0,10761,5469,103000,120,1,392000,0,0
279,1,0,0,13519,19472,7000,180,1,440000,1,1
280,0,1,1,18038,4360,71000,180,0,447000,0,1
281,3,1,1,6766,17887,56000,240,0,239000,2,1
282,2,1,0,17553,4705,91000,60,0,187000,0,0
283,0,1,1,12356,13388,102000,60,0,333000,1,1
284,3,1,0,1267,5776,98000,120,0,53000,1,0
285,5,0,0,19842,9007,13000,120,1,293000,1,0
286,3,1,0,5314,16626,17000,180,0,171000,2,0
287,0,0,0,14693,10664,75000,60,0,100000,0,0
288,0,1,1,17877,3789,61000,120,0,434000,0,1
289,5,1,0,12946,3888,58000,180,0,123000,2,0
290,0,0,1,1981,5318,61000,240,1,332000,0,1
291,5,1,1,7330,8498,119000,60,0,179000,0,0
292,1,0,1,1441,5936,117000,120,1,409000,2,1
293,5,1,1,6816,1883,17000,120,0,230000,0,0
294,1,1,0,1866,3687,121000,120,1,264000,1,1
295,5,1,1,4592,7311,107000,240,1,171000,0,1
296,0,0,1,4320,5790,27000,240,0,104000,1,1
297,5,0,0,6610,18718,69000,60,1,109000,0,0
298,5,0,0,1396,16853,58000,240,1,306000,2,1
299,4,0,0,12294,12054,83000,180,1,471000,0,0
300,5,1,1,2688,16366,33000,60,0,329000,2,1
301,0,0,0,2162,12506,128000,240,1,387000,1,1
302,3,1,0,2795,7266,33000,120,1,317000,1,1
303,1,1,0,2593,17843,93000,180,1,140000,0,1
304,1,0,0,6097,9551,145000,240,0,292000,2,1
305,2,1,0,1710,12389,78000,60,0,244000,0,0
306,4,1,0,7393,6292,112000,60,1,307000,0,0
307,5,1,1,18913,6693,14000,60,1,262000,2,1
308,0,1,0,1768,6624,11000,60,1,127000,2,1
309,4,0,1,7577,3817,90000,120,0,400000,0,0
310,2,0,1,16430,5831,145000,180,1,422000,2,1
311,3,1,1,11754,6880,103000,180,1,285000,2,1
312,3,0,1,4671,9270,102000,60,1,140000,0,0
313,4,0,0,14248,1539,115000,120,0,262000,2,0
314,5,1,0,12557,14248,6000,60,0,182000,2,0
315,3,1,0,19044,12331,75000,60,0,26000,2,0
316,2,1,1,13843,441,80000,60,0,159000,1,1
317,4,1,0,8854,8613,79000,120,0,179000,1,0
318,3,0,1,3292,1723,22000,180,1,153000,0,0
319,5,1,0,2908,17411,43000,240,1,202000,0,0
320,0,0,1,8965,18023,69000,240,1,305000,2,1
321,0,1,0,833,19285,50000,180,0,133000,1,1
322,0,1,0,16256,9910,72000,120,1,306000,0,1
323,4,1,1,7137,8343,18000,180,1,171000,1,1
324,4,1,1,11034,14512,143000,60,1,234000,1,1
325,2,0,1,14443,6188,77000,120,0,224000,1,1
326,3,0,0,3582,8867,77000,180,0,186000,2,0
327,2,1,0,18759,9578,6000,60,1,42000,0,1
328,1,1,1,1595,1016,65000,60,0,368000,0,1
329,5,0,1,8313,8023,112000,180,1,396000,2,1
330,2,0,0,7043,11522,11000,240,1,358000,0,1
331,4,0,1,4327,3413,4000,240,0,450000,0,0
332,3,0,1,8213,16824,79000,60,1,94000,1,1
333,3,1,0,5079,10041,125000,60,0,116500,2,0
334,5,0,1,5117,7717,3000,120,1,139000,1,1
335,3,0,0,10748,2850,92000,60,0,123000,2,0
336,0,1,0,826,16061,4000,180,1,386000,1,1
337,1,0,0,1267,3751,69000,120,0,217000,1,0
338,5,1,1,2912,6867,99000,60,1,201000,1,1
339,0,0,0,9768,6641,96000,240,0,244000,0,0
340,1,1,0,18174,10984,109000,240,0,195000,2,1
341,4,1,1,6814,8363,1000,60,0,417000,2,1
342,4,0,0,3586,11269,148000,180,1,424000,2,1
343,5,0,1,10382,9271,69000,180,1,14000,0,0
344,4,1,1,6811,1293,92000,120,0,299000,1,0
345,3,0,1,13774,9314,73000,120,0,365000,0,0
346,4,1,0,6463,6508,99000,60,1,231000,0,0
347,2,1,0,6421,15258,107000,60,0,238000,2,1
348,5,0,0,10189,11156,45000,120,1,118000,2,1
349,3,0,1,13406,4510,13000,60,0,344000,2,0
350,1,1,0,4949,1705,64000,120,1,124000,2,1
351,0,1,1,555,10102,36000,60,0,479000,0,1
352,3,0,0,10775,8410,32000,240,0,450000,0,0
353,4,1,0,5836,18277,3000,60,0,85000,0,0
354,5,1,1,9001,435,43000,240,0,216000,2,1
355,5,1,0,7296,18939,144000,120,0,402000,1,0
356,0,1,0,14108,9777,28000,180,1,49000,2,1
357,3,0,0,10426,4719,27000,60,1,285000,2,1
358,2,0,0,16769,14709,56000,120,1,465000,2,1
359,2,1,1,5190,5677,149000,180,0,388000,0,1
360,3,1,0,8487,6555,132000,60,0,254000,1,0
361,4,1,0,11310,940,49000,120,1,454000,1,1
362,5,1,1,10792,9613,62000,240,1,351000,1,1
363,1,1,0,11864,3683,7000,120,0,468000,1,1
364,1,0,1,11684,12499,1000,120,1,256000,0,1
365,2,1,0,13810,5820,135000,240,1,397000,2,1
366,2,0,1,19533,8878,36000,240,0,75000,1,1
367,4,0,0,7792,6504,22000,240,1,462000,2,1
368,2,0,0,6053,19397,122000,120,1,417000,1,1
369,5,1,1,9236,10357,149000,240,0,485000,0,0
370,4,0,1,8996,9855,78000,240,0,428000,2,0
371,4,1,0,6767,5053,43000,240,0,109000,1,0
372,0,1,1,6206,4209,42000,180,1,36000,0,1
373,3,0,1,6727,15712,146000,120,1,130000,0,0
374,4,1,0,3523,666,144000,120,1,416000,1,1
375,5,1,0,2777,19285,100000,240,1,325000,0,0
376,0,0,1,4008,14541,75000,180,0,216000,2,1
377,0,1,0,7936,6204,50000,120,0,411000,2,1
378,4,0,1,1766,16141,120000,60,0,88000,0,0
379,3,0,1,2678,14199,74000,240,1,490000,0,0
380,0,0,1,8290,3967,57000,120,0,462000,1,1
381,1,0,1,10906,8314,32000,60,1,276000,1,1
382,3,1,0,5676,3164,7000,180,0,312000,1,0
383,1,0,0,10643,1856,61000,60,1,308000,2,1
384,4,1,0,1419,4007,84000,120,1,175000,1,1
385,1,1,0,16339,6336,71000,180,0,129000,1,1
386,2,1,1,8504,4798,2000,120,0,32000,1,1
387,0,1,1,9023,1727,121000,120,0,140000,0,1
388,0,1,1,5513,18259,1000,120,1,364000,2,1
389,0,0,1,3501,9574,83000,60,0,149000,1,1
390,4,1,0,15377,1052,115000,240,0,310000,0,0
391,1,1,0,18222,16439,141000,180,0,334000,0,0
392,1,0,0,19974,19176,37000,240,1,245000,0,1
393,1,0,0,846,8956,24000,60,1,144000,2,1
394,0,0,0,5027,1205,68000,240,1,465000,0,1
395,1,1,0,217,2016,143000,240,0,5000,2,0
396,2,0,1,12046,17632,89000,60,1,3000,0,1
397,5,0,1,1184,19649,50000,120,0,25000,2,0
398,2,1,1,11323,5532,56000,60,0,276000,1,1
399,0,0,1,13852,17350,65000,240,1,260000,0,1
400,5,0,0,8082,16806,136000,180,0,117000,1,0
401,4,0,0,9425,13101,60000,240,0,121000,0,0
402,2,0,1,14895,280,88000,240,0,345000,2,1
403,3,0,1,10390,2632,89000,120,1,317000,1,1
404,3,1,1,10600,8252,145000,240,1,318000,1,1
405,1,1,0,11476,617,111000,240,0,466000,1,1
406,2,0,0,11155,7587,107000,120,0,262000,2,1
407,4,1,0,13165,5946,40000,180,0,464000,1,0
408,2,0,1,12200,1206,6000,120,0,333000,0,0
409,5,1,1,10175,6354,48000,240,1,488000,2,1
410,2,1,1,13509,8652,71000,180,0,359000,2,1
411,1,1,0,1320,12036,34000,120,1,453000,0,1
412,5,1,1,4208,6844,19000,180,1,108000,2,1
413,3,0,1,4075,8026,24000,60,0,384000,1,0
414,0,1,1,11714,149,18000,180,1,293000,2,1
415,1,1,1,15955,16641,93000,240,1,179000,0,1
416,1,1,0,930,10252,104000,120,0,370000,2,1
417,2,0,1,15415,18086,31000,240,1,260000,0,1
418,4,1,0,19438,8981,147000,240,0,70000,2,0
419,1,1,1,990,12833,122000,180,0,2000,0,1
420,1,0,1,10945,8406,122000,60,0,77000,1,1
421,5,1,0,485,16464,73000,180,1,168000,2,1
422,3,0,0,2512,9656,18000,60,0,276000,0,0
423,2,0,1,10270,6312,80000,60,1,350000,1,1
424,4,0,1,183,4798,142000,180,0,245000,1,0
425,2,1,0,16859,8871,66000,60,0,441000,1,1
426,2,1,0,18516,18298,39000,120,1,497000,1,1
427,3,1,1,9387,15020,30000,180,1,389000,0,1
428,0,1,1,786,8381,135000,60,1,479000,2,1
429,5,1,1,10883,2186,46000,60,1,252000,2,1
430,2,0,0,7688,19919,136000,180,1,278000,1,1
431,2,0,1,10976,7547,121000,180,1,202000,1,1
432,3,0,1,2370,1920,4000,180,0,298000,0,0
433,2,0,1,5867,2033,25000,180,1,275000,2,1
434,0,0,0,703,5086,117000,180,0,495000,2,1
435,0,0,1,19198,12626,64000,180,1,408000,0,1
436,4,0,0,18012,19752,38000,120,1,130000,2,1
437,1,1,1,8838,12517,21000,240,1,469000,2,1
438,2,1,0,19473,3681,70000,120,1,208000,1,1
439,5,1,0,7689,14663,71000,60,1,131000,1,1
440,0,0,0,18170,8168,149000,180,0,444000,0,0
441,0,0,1,10313,7523,121000,60,1,461000,1,1
442,4,0,1,11417,11463,3000,240,1,495000,2,1
443,0,0,1,3305,2496,83000,240,0,379000,0,0
444,0,1,1,1465,11371,144000,120,1,87000,1,1
445,1,0,1,17552,2492,53000,120,0,459000,1,1
446,2,1,1,5686,12019,109000,240,1,28000,0,1
447,4,1,0,6731,7578,124000,120,1,274000,2,1
448,0,1,1,5722,8971,7000,180,0,38000,2,1
449,0,1,0,16983,6231,103000,120,0,90000,0,0
450,2,1,0,2858,9818,57000,240,0,28000,1,1
451,3,0,0,17182,6467,70000,180,0,487000,1,0
452,3,0,0,19714,6746,90000,120,1,163000,0,0
453,2,1,1,2880,4718,78000,60,0,79000,0,1
454,4,1,0,12126,14825,109000,240,0,35000,0,0
455,4,1,0,10134,3360,1000,180,0,294000,1,0
456,4,0,0,4090,189,122000,240,1,202000,1,0
457,3,1,1,11827,6637,86000,60,1,169000,1,1
458,1,0,1,3644,5436,119000,60,0,358000,2,1
459,0,1,1,2988,4616,88000,240,0,333000,0,1
460,4,0,0,9616,4524,129000,120,0,372000,2,0
461,2,0,0,10202,18775,16000,240,0,259000,2,1
462,5,0,0,19443,6824,49000,120,1,233000,0,0
463,3,1,1,12060,11175,74000,240,1,122000,2,1
464,5,0,0,6291,11988,129000,240,1,193000,2,1
465,2,0,0,15137,10816,3000,240,0,289000,0,0
466,3,1,0,2902,7602,69000,180,1,234000,0,0
467,4,0,1,8134,2972,48000,180,1,307000,0,0
468,3,1,1,13179,661,44000,180,1,407000,0,1
469,2,1,0,2972,628,46000,120,1,335000,2,1
470,2,0,0,16158,9749,20000,60,0,120000,1,0
471,2,1,1,10574,1691,38000,60,0,104000,0,1
472,1,0,0,10623,14852,25000,120,0,224000,0,0
473,5,0,0,7328,3855,54000,120,1,381000,2,1
474,2,1,0,10532,17312,149000,180,1,405000,2,1
475,1,1,0,2139,1228,130000,120,0,440000,0,0
476,2,0,1,16125,7210,48000,180,0,315000,1,1
477,2,0,1,19593,12482,5000,60,1,105000,2,1
478,0,0,1,1064,14518,149000,240,0,396000,1,1
479,2,0,1,4059,4169,144000,60,1,49000,1,0
480,3,0,1,3061,5603,40000,120,0,103000,0,0
481,0,0,1,11347,5396,66000,60,1,152000,2,1
482,5,1,0,10668,11597,79000,120,0,260000,2,0
483,1,1,0,734,452,69000,60,0,211000,0,0
484,2,1,0,4750,8960,45000,180,0,287000,0,0
485,1,0,0,10273,2815,129000,120,0,269000,0,0
486,0,1,0,7321,18319,31000,240,0,411000,0,0
487,3,0,1,2999,10336,79000,240,1,405000,0,0
488,0,1,0,8592,11270,119000,240,1,253000,1,1
489,3,0,1,153,4591,112000,240,0,72000,1,0
490,0,0,1,1945,1852,47000,180,1,344000,0,1
491,4,1,1,2718,9107,18000,240,0,432000,2,1
492,4,1,0,2792,3916,82000,120,0,59000,0,0
493,5,1,1,8357,70,121000,60,0,377000,1,0
494,5,0,1,8252,15718,85000,120,0,178000,1,0
495,5,1,0,6385,7626,57000,120,1,438000,1,1
496,2,1,1,9768,7873,85000,180,0,381000,0,1
497,5,0,1,8499,16731,149000,60,0,350000,0,0
